vin,make,model,year,color
5UXZV4C55CL377674,Suzuki,Verona,1976,Teal
WAUJC68E85A651499,Land Rover,Range Rover Classic,1983,Puce
WA1BV94L57D482710,Lamborghini,Murciélago,1938,Green
19UUA65514A137035,MINI,Cooper,1946,Goldenrod
2C3CA4CG2BH721904,Ford,F250,1949,Khaki
1D4RD2GG2BC422351,Chevrolet,Astro,1960,Khaki
WAUHFAFLXAN769700,Mercedes-Benz,S-Class,1935,Purple
WAUJT54B24N465342,Chevrolet,Astro,1927,Pink
JTEBU5JR9C5449591,Ford,Mustang,1959,Mauv
2FMGK5B81EB764348,Dodge,Ram 1500,1953,Crimson
WA1C8AFP7DA864022,Kia,Soul,1903,Violet
5UXFA935X6L869651,MINI,Cooper,1937,Orange
3N1BC1CP1CK475512,Toyota,Corolla,1934,Red
JHMZF1D46ES721099,BMW,M,1933,Turquoise
1D4PU6GXXBW286936,Ford,Taurus,1904,Teal
JN1CV6EKXCM321605,Mercury,Mountaineer,2022,Red
TRURD38J691484358,Alfa Romeo,Spider,1957,Violet
19UUA9F79CA460037,Lexus,LS,1911,Indigo
WAUAF68EX5A319099,Audi,S6,1976,Goldenrod
1G6DM5EV8A0115036,Eagle,Talon,1981,Blue
5UXKR6C55F0893895,Dodge,Ram 1500,1925,Maroon
2HNYD18836H441109,Land Rover,Discovery,1959,Crimson
1FTMF1EW8AF653867,Ford,Econoline E350,2016,Maroon
WAUVT68E52A854623,Mazda,MPV,1991,Goldenrod
WBAEH73424B477669,Ford,Explorer Sport,1932,Teal
2G4GK5EX8F9800938,Pontiac,Tempest,1975,Aquamarine
WBA3C3C5XEP670258,Oldsmobile,Custom Cruiser,2017,Goldenrod
WVWAA7AJ6CW597898,Mazda,626,1973,Puce
WBAUP7C50DV856384,Porsche,944,2021,Puce
1C4AJWAG6FL466684,Ford,F250,2012,Aquamarine
JTHBE1KS7B0487536,Hyundai,Sonata,2003,Purple
1G6DK5EG9A0472782,Saab,9-5,1992,Maroon
YV4902DZ5E2053104,Lincoln,Continental,2019,Turquoise
2G4WC552261504762,Ford,LTD,2016,Maroon
1FTNF1E85AK239300,Toyota,Avalon,2000,Goldenrod
TRUXD38J591179151,Cadillac,Escalade ESV,1917,Aquamarine
1FTMF1E85AF064597,Audi,80,1969,Teal
3GYFNFE34CS727893,Mercury,Mariner,1942,Blue
1GYS4BEF8DR372865,Pontiac,Bonneville,1994,Red
1G4GE5G36FF404340,Toyota,Tundra,1925,Crimson
1FTEW1CM4DF686911,Chevrolet,Blazer,1996,Mauv
WBA3R1C56FF124339,Dodge,Viper,1931,Maroon
19UUA8F20BA390912,Volkswagen,Golf III,1961,Green
2HNYD2H3XDH461686,Volkswagen,Jetta,1923,Aquamarine
KMHTC6AD7DU394230,Lincoln,MKZ,1948,Crimson
TRUWC28N021120445,Ford,F350,1978,Maroon
5XYKT3A60EG000506,Land Rover,Freelander,1906,Khaki
3G5DA03L37S642209,MINI,Cooper Countryman,1974,Yellow
SCFAB42372K106063,Lexus,IS,1933,Goldenrod
SAJWA1CB4CL210230,Plymouth,Laser,1954,Aquamarine
3C4PDDGG9ET518163,Lincoln,Town Car,1932,Mauv
WAU3GAFD3FN485249,Hyundai,Elantra,1950,Khaki
2HNYD2H21CH761509,Infiniti,Q,1964,Teal
1G6DA5EG3A0033371,Nissan,Murano,1981,Orange
1G4GC5GC4BF320310,Dodge,Ram 1500 Club,1913,Indigo
WBAFU7C5XDD717662,Porsche,Carrera GT,1979,Maroon
WDDUG7GBXFA765156,Mazda,MX-6,2021,Crimson
JTEBC3EH1B2823247,Lincoln,MKX,1917,Green
1G6AB5SA7E0244059,Ford,Taurus,1937,Green
KNAFX6A84F5124486,Honda,Odyssey,1942,Pink
WBAGN83565D603473,Chevrolet,S10,1927,Indigo
WAUDT74F15N984377,Porsche,944,1957,Blue
WAUKFAFL6EA538229,Mitsubishi,GTO,1964,Fuscia
JN8AZ1MU4DW523137,Mitsubishi,Diamante,1941,Violet
WDBWK5EA5BF193327,Subaru,Legacy,2018,Fuscia
1FADP3E26FL231555,Land Rover,Range Rover,1974,Yellow
5N1AN0NU6FN614849,Toyota,Tundra,1905,Maroon
WA1LMBFE7BD754549,Ford,Explorer,1945,Indigo
JA32U2FU2EU747309,Cadillac,Escalade ESV,1989,Blue
WAUSF98E87A707053,Ford,Ranger,1981,Red
1G6DS1E36C0202465,Nissan,Frontier,1977,Puce
1G6AW5SX4F0016403,Mazda,626,1935,Khaki
YV1612FHXE2932664,Kia,Spectra,2018,Maroon
3D7TT2CT7BG490589,Toyota,TundraMax,1928,Yellow
1FTWF3A53AE294600,Mitsubishi,Excel,2010,Indigo
JN1AJ0HP9CM648956,Ford,Crown Victoria,1923,Turquoise
5GADV33W87D963835,Lexus,RX,2003,Maroon
3C6TD5NT1CG902777,Toyota,Land Cruiser,1915,Yellow
WBAET37482N048145,Volvo,S60,1918,Teal
1GYS3DEF1DR780185,Audi,S6,1976,Green
5TDDW5G13FS386284,Ford,Focus,1999,Aquamarine
WBAYA8C5XFG341327,Mercury,Grand Marquis,1958,Red
YV1672MK2B2638281,Ford,F250,2014,Teal
JTJBC1BAXC2167158,Mazda,RX-7,1980,Aquamarine
5UXFB53505L451071,Dodge,Viper,1904,Orange
1G6DL67A180828115,Chrysler,Town & Country,1914,Crimson
JM1NC2LF1C0438264,Ford,Contour,1902,Maroon
1G6DG8E51C0335484,Dodge,Viper RT/10,1929,Khaki
YV126MEC7F1160620,Volkswagen,R32,1918,Puce
WA1CM74L29D349479,Mazda,B-Series,1992,Indigo
JN1CV6EK3BM707054,Bentley,Azure,1951,Mauv
4JGBF2FE6BA391430,Ford,Focus,1929,Orange
WBABW33455P942418,Lotus,Esprit,1983,Red
1GYUKAEF2AR943660,Studebaker,Avanti,1950,Red
1B3CB3HA8AD794862,Toyota,Avalon,1976,Goldenrod
KNADH4A39A6306071,Oldsmobile,Aurora,1974,Crimson
1G6DA67V380902210,Jaguar,XJ Series,2010,Crimson
1GT01ZCGXEF663574,Volkswagen,Jetta,1949,Mauv
3LNHL2GC2AR049235,Acura,TL,1902,Puce
2G61P5S37D9845771,Ford,Tempo,1959,Maroon
WBAPK73549A521963,Mitsubishi,Galant,1916,Orange
JN8AS5MT0CW624774,Lamborghini,Countach,2009,Green
1VWAH7A34DC179613,Dodge,Ram Van 2500,1955,Teal
3D7TP2CT3AG764194,Dodge,Spirit,2001,Aquamarine
WBAEH13446C203240,Nissan,Altima,1996,Indigo
WBAAZ33493P372424,Lotus,Esprit,1959,Aquamarine
WDDGF4HB6CR461655,Buick,Park Avenue,1902,Crimson
WAUDH94F27N995016,Ford,Expedition,1980,Violet
1GYFC33229R133829,Honda,Prelude,1955,Puce
1C3CDZBG8DN521691,Panoz,Esperante,1940,Teal
